"",sel,title,artist,"top genre",year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
91,"",Kvanefjeld,"Sylvgheist Maelstrom","",2014,"2016-12-03",120,95,62,-7,10,38,225,0,7,0
92,"","Everything + I Will Be - Original Mix + Acapella","Tone Depth","melodic techno",2005,"2016-12-03",123,84,77,-11,6,61,515,1,12,0
93,"","Track IX","Der Blutharsch","martial industrial",1996,"2016-12-03",81,67,30,-15,11,32,253,2,5,0
94,"","Riding On the Atomic I.C.E",Asche,"power noise",2000,"2016-12-03",142,98,45,-8,45,7,464,0,14,0
95,"","Twisted - Original Mix",Svenson,"hard trance",2001,"2016-12-03",140,97,61,-8,3,38,530,0,4,0
96,"","Galactik Dust",Zeller,"abstract idm",2010,"2016-12-03",140,90,60,-8,18,28,389,2,5,0
97,"",Carbon,"Discrete Encounter","",2009,"2016-12-03",120,51,60,-11,10,25,288,13,3,0
98,"",Evi,"Structural Fault","abstract idm",2011,"2016-12-03",140,97,27,-4,34,22,336,1,6,0
99,"","Earth Without Humans","Structural Fault","abstract idm",2011,"2016-12-03",140,99,18,-4,16,9,313,1,45,0
100,"","Olden Wrath of the Great Ones - Iszloloscope Mix","Flint Glass","power noise",2015,"2016-12-03",138,74,54,-12,8,3,378,0,4,0
101,"",Collapse,"Structural Fault","abstract idm",2011,"2016-12-03",126,97,58,-4,83,39,363,4,8,0
